Area,Bauteiltyp,Betongüte,Breite/Höhe,Depth,Einheit,Expositionsklasse,Fenster/Türnummer,Flügelanzahl,GUID,Geschoss,GrossArea,GrossFootprintArea,GrossSideArea,GrossVolume,Height,IfcType,IsExternal,Length,LoadBearing,Material,Name,NetArea,NetFootprintArea,NetSideArea,NetVolume,NumberOfRiser,NumberOfTreads,Perimeter,Raumnummer,RequiredHeadroom,RiserHeight,Rohbaubreite,Rohbauhöhe,Sichtbetonklasse,Stahlbeton,Status,SurfaceSpreadOfFlame,Volume,WU,WalkingLineOffset,Width,Zugehörigkeit,id,Öffnungsbreite,Öffnungshöhe,Öffnungsrichtung,Überwachungsklasse
1.75,Fenster,,,,,,0.EG--Fenster-001,4 Flügel,0brjLQeHvCUBIJpZTv_O6C,EG,,,,,0.5,IfcWindow,True,,,,Fenster-001,,,,,,,8.0,,,,3.5,0.5,,,['EXISTING'],,,,,3.5,EG--,76749,,,,
1.75,Fenster,,,,,,0.EG--Fenster-001,4 Flügel,0ILK2aj3P3vAES4Razsflg,EG,,,,,0.5,IfcWindow,True,,,,Fenster-001,,,,,,,8.0,,,,3.5,0.5,,,['EXISTING'],,,,,3.5,EG--,76834,,,,
1.75,Fenster,,,,,,0.EG--Fenster-001,4 Flügel,1lDWYEggbBDfRefPYAF_59,EG,,,,,0.5,IfcWindow,True,,,,Fenster-001,,,,,,,8.0,,,,3.5,0.5,,,['EXISTING'],,,,,3.5,EG--,76915,,,,
2.1311,Tür,,,,,,0.EG--Tür-004,1 Flügel,09TfpBr7z0IRglHp0wjkO$,EG,,,,,2.11,IfcDoor,True,,,,Tür-004,,,,,,,6.24,,,,1.01,2.01,,,['EXISTING'],,,,,1.01,EG--,76996,,,R,
2.1311,Tür,,,,,,0.EG--Tür-004,1 Flügel,1d0gGZMKfC7xZYbBuBLyYX,EG,,,,,2.11,IfcDoor,True,,,,Tür-004,,,,,,,6.24,,,,1.01,2.01,,,['EXISTING'],,,,,1.01,EG--,77077,,,R,
2.1311,Tür,,,,,,0.EG--Tür-004,1 Flügel,1GmWBFIGfDP8RWRr8lIiX2,EG,,,,,2.11,IfcDoor,True,,,,Tür-004,,,,,,,6.24,,,,1.01,2.01,,,['EXISTING'],,,,,1.01,EG--,77158,,,R,
,Wand,,,,,,,,1dnGDoYtHC7xC_wrVvbRJJ,EG,,2.05159997979,56.199,10.12862,4.0,IfcWall,True,14.41,True,,Wand-014,,2.05159997979,44.5557,8.032826,,,,,,,,,,,['EXISTING'],,,,,0.18,,78297,,,,
1.75,Öffnung,,,0.18,,,,,3bWjd6j$xoFwO1OPBKBNVQ,,,,,,0.5,IfcOpeningElement,,,,,Fenster-001,,,,,,,,,,,,,,,,,0.0955205,,,3.5,,77967,,,,
1.75,Öffnung,,,0.18,,,,,1M3ly4EOZSs2VR4FOO$yrN,,,,,,0.5,IfcOpeningElement,,,,,Fenster-002,,,,,,,,,,,,,,,,,0.0955205,,,3.5,,78026,,,,
1.75,Öffnung,,,0.18,,,,,2cbyAR6dzcfDQOF4YY_zg1,,,,,,0.5,IfcOpeningElement,,,,,Fenster-003,,,,,,,,,,,,,,,,,0.0955205,,,3.5,,78085,,,,
